Countries and territories,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP),GDP per capita (current US$)
Denmark,DNK,16.45826256,63.7287848,19.81295264,5797446.0,49.72579727,50.27420273,10.35004017,61350.347910000004
Djibouti,DJI,29.57411596,65.89830466,4.527579378,958920.0,52.63321455,47.36678545,3.50192451,3082.543099
Dominica,DMA,,,,71625.0,,,5.30393975,7691.345096999999
Dominican_Republic,DOM,27.977129499999997,64.94005302,7.082817476000001,10627165.0,49.99220393,50.00779607,6.16130052,8050.6316019999995
Early-demographic dividend,EAR,28.89757075,65.28462357,5.817805684,3249140605.0,50.92793301,49.07206699,4.990122295,3581.89016
East Asia & Pacific,EAS,19.76754704,69.48809496,10.744358,2328220870.0,50.68864623,49.31135377,6.6393681970000005,11142.59123
East Asia & Pacific (excluding high income),EAP,20.49881239,70.00494974,9.496237874,2081651801.0,50.85315451,49.14684549,4.777763009,7822.8548040000005
East Asia & Pacific (IDA & IBRD countries),TEA,20.50249951,69.99925292,9.498247565,2056064424.0,50.877350299999996,49.122649700000004,4.777917351,7905.035148000001
Ecuador,ECU,28.028592,64.81411827,7.157289727,17084357.0,50.02937482,49.97062518,8.38714107,6344.871979
Egypt,EGY,33.79872071,60.97149994,5.229779346,98423595.0,50.53002836,49.46997164,4.63781726,2549.132252
El_Salvador,SLV,27.13208091,64.58082908,8.287090005,6420744.0,46.88599756,53.11400244,6.95775683,4058.252439
Equatorial_Guinea,GNQ,37.11659887,60.42552379,2.4578773469999997,1308974.0,55.54414706,44.45585294,3.37653274,10261.76001
Eritrea,ERI,,,,,,,2.95931347,
Estonia,EST,16.35707375,64.01656941,19.62635685,1320884.0,47.14157318,52.85842682,6.68368438,23266.34627
Eswatini,SWZ,38.11249154,57.87292052,4.014587941,1136191.0,48.85106937,51.14893063,7.69694547,4145.974112
Ethiopia,ETH,40.78298191,55.7158851,3.501132998,109224559.0,50.02111158,49.97888842,3.97401588,772.3135302999999
Euro area,EMU,15.06811691,64.33159549999999,20.60028759,341783171.0,48.89651569,51.10348431,10.217269,39927.617589999994
Europe & Central Asia,ECS,18.01505685,65.63605255,16.348890599999997,918793590.0,48.46411769,51.53588231,9.377728932,25107.274419999998
Europe & Central Asia (excluding high income),ECA,21.03908655,66.91393605,12.046977400000001,417797257.0,47.86512198,52.13487802,5.213777011,8163.517105
Europe & Central Asia (IDA & IBRD countries),TEC,20.48438915,66.94001194,12.57559892,459865205.0,47.91773931,52.08226069,5.419749964,8822.869232
European Union,EUU,15.47570079,64.58977752,19.93452168,513213363.0,48.91937088,51.08062912,9.929343946,36569.73382
Faroe_Islands,FRO,,,,48497.0,,,,
