Countries and territories,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP),GDP per capita (current US$)
Tonga,TON,35.41575821,58.63058035,5.953661444,103197.0,50.01308152,49.98691848,5.26385403,4364.015561
Trinidad_and_Tobago,TTO,20.41957257,68.84547391,10.73495352,1389858.0,49.40867337,50.59132663,6.5104014,17129.913090000002
Tunisia,TUN,24.17012035,67.51420057,8.315679079,11565204.0,49.56284814,50.43715186,6.95195517,3447.5079100000003
Turkey,TUR,24.64941014,66.86737692,8.48321294,82319724.0,49.3221868,50.6778132,4.3143198,9370.176344
Turkmenistan,TKM,30.82236394,64.75100160000001,4.426634462,5850908.0,49.239262599999996,50.760737400000004,6.61802128,6966.635411
Turks_and_Caicos_islands,TCA,,,,37665.0,,,,27142.2278
Tuvalu,TUV,,,,11508.0,,,15.45402053,3700.7106770000005
Uganda,UGA,46.93052518,51.128487899999996,1.94098692,42723139.0,49.2239211,50.7760789,6.16503174,642.7767443
Ukraine,UKR,15.81241317,67.75290039,16.43468644,44622516.0,46.3122493,53.687750699999995,6.72703787,3095.173581
United_Arab_Emirates,ARE,14.60350937,84.31148965,1.085000985,9630959.0,69.36331205,30.63668795,3.51684955,43004.95336
United_Kingdom,GBR,17.67808207,63.92605226,18.39586567,66488991.0,49.36472544,50.63527456,9.7623484,42943.90227
United_States_of_America,USA,18.70903998,65.48330596,15.80765406,327167434.0,49.47998535,50.52001465,17.07341533,62794.58565
Upper middle income,UMC,20.74864674,69.21340446,10.0379488,2655635719.0,50.24818566,49.75181434,5.854028787000001,9205.37874
Uruguay,URY,20.60798107,64.57749939,14.81451953,3449299.0,48.27845731,51.72154269,9.06075776,17277.97011
Uzbekistan,UZB,28.68605741,66.89480471,4.419137878,32955400.0,49.86264108,50.13735892,6.33520937,1532.3716769999999
Vanuatu,VUT,38.84823015,57.51161678,3.640153068,292680.0,50.71119843,49.28880157,3.69175091,3123.893396
Venezuela,VEN,27.66665058,65.06636280000001,7.26698662,28870195.0,49.3667402,50.6332598,3.21708435,
Vietnam,VNM,23.17267683,69.55234487,7.274978298,95540395.0,49.90359038,50.09640962,5.65919354,2566.59695
United_States_Virgin_Islands,VIR,19.7134123,60.99828047,19.28830722,106977.0,47.56286304,52.43713696,,
Palestine,PSE,38.94736128,57.91933298,3.1333057369999997,4569087.0,50.72235573,49.27764427,,3198.866644
World,WLD,25.79537624,65.33118151,8.873442244,7594270356.0,50.41544523,49.58455477,10.02127141,11312.43993
"Yemen, Rep.",YEM,39.61489027,57.50883997,2.876269756,28498687.0,50.38834251,49.61165749,,944.4084993999999
Zambia,ZMB,44.93614116,52.96418082,2.099678026,17351822.0,49.50679224,50.49320776,4.47720737,1539.900158
Zimbabwe,ZWE,42.40106624,54.65941011,2.939523653,14439018.0,47.64324793,52.35675207,9.41366844,2146.9963850000004
